FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Lead frame,Unit/strip,Strip/lot
F70022,5.0,201.35,TQ-258E258B014C,2.58X2.58,QFN,Cu,1575.0,40.0
F70022,5.0,201.35,TQ-258E258B014N,2.58X2.58,QFN,Cu,1575.0,40.0
F70034,3.0,406.03,EQ-200E300B014M,3X2,QFN,PPF,1710.0,40.0
FN0115,3.0,225.88,UQ-180E320A020P,1.8X3.2,QFN,PPF,1700.0,12.0
FN0115,3.0,225.88,UQ-180X320A020D,3.2X1.8,QFN,PPF,936.0,24.0
FN0115,3.0,225.88,UQ-180X320A020P,3.2X1.8,QFN,PPF,936.0,24.0
FR0043,5.0,172.81,NQ-400E400A028A,4X4,QFN,Cu,700.0,40.0
FR0043,5.0,172.81,TQ-400E400A028A,4X4,QFN,Cu,700.0,40.0
FR0043,5.0,172.81,TQ-400E400A028E,4X4,QFN,Cu,700.0,40.0
FR0043,5.0,172.81,TQ-400E400A028K,4X4,QFN,Cu,700.0,40.0
FR0043,5.0,172.81,TQC400E400A028A,4X4,QFN,Cu,700.0,40.0
FR0043,5.0,172.81,TQC400E400A028E,4X4,QFN,Cu,700.0,40.0
FR0044,5.0,203.45,NQ-500E5001032A,5X5,SLP,Cu,440.0,40.0
FR0044,5.0,203.45,NQ-500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,NQ-500E500B032K,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,NQ-500E500X032A,5X5,SFS,,440.0,40.0
FR0044,5.0,203.45,NQ-500E500X032K,5X5,SFS,,440.0,40.0
FR0044,5.0,203.45,NQ-500M500B032A,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,NQC500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,NQC500E500B032K,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,TQ-500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,TQ-500E500B032E,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,TQ-500M500B032A,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,TQ-500S500B032A,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,TQC500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,TQC500E500B032E,5X5,QFN,Cu,440.0,40.0
FR0044,5.0,203.45,TQC500E500B032K,5X5,QFN,Cu,440.0,40.0
FR0046,5.0,189.48,NQ-400E400A028A,4X4,QFN,Cu,700.0,40.0
FR0046,5.0,189.48,TQ-400E400A028A,4X4,QFN,Cu,700.0,40.0
FR0046,5.0,189.48,TQ-400E400A028K,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,NQ-400E4001024A,4X4,SLP,Cu,700.0,40.0
FR0049,5.0,218.43,NQ-400E400B024A,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,NQ-400E400B024K,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,NQ-400S400B024A,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,NQC400E400B024A,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQ-400E400B024A,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQ-400E400B024E,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQ-400M400B024A,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQ-400M400B024E,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQ-400S400B024A,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQC400E4001024A,4X4,SLP,Cu,700.0,40.0
FR0049,5.0,218.43,TQC400E400B024A,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQC400E400B024E,4X4,QFN,Cu,700.0,40.0
FR0049,5.0,218.43,TQC400E400B024U,4X4,QFN,Cu,700.0,30.0
FR0060,5.0,178.87,NQ-500E500B028A,5X5,QFN,Cu,440.0,40.0
FR0060,5.0,178.87,NQ-500E500B028K,5X5,QFN,Cu,440.0,40.0
FR0060,5.0,178.87,NQ-500S500B028A,5X5,QFN,Cu,440.0,40.0
FR0060,5.0,178.87,NQC500E500B028A,5X5,QFN,Cu,440.0,40.0
FR0060,5.0,178.87,TQ-500E5001028A,5X5,SLP,Cu,440.0,40.0
FR0060,5.0,178.87,TQ-500E5001028E,5X5,SLP,Cu,440.0,40.0
FR0060,5.0,178.87,TQ-500E500B028A,5X5,QFN,Cu,440.0,40.0
FR0060,5.0,178.87,TQC500E5001028A,5X5,SLP,Cu,440.0,40.0
FR0060,5.0,178.87,TQC500E500B028A,5X5,QFN,Cu,440.0,40.0
FR0060,5.0,178.87,TQC500E500B028K,5X5,QFN,Cu,440.0,40.0
FR0060,5.0,178.87,TQC500E500X028A,5X5,SFS,,440.0,40.0
FR0147,5.0,178.38,NQ-700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0147,5.0,178.38,NQ-700M700B048A,7X7,QFN,Cu,240.0,40.0
FR0147,5.0,178.38,NQC700E700B048K,7X7,QFN,Cu,240.0,40.0
FR0147,5.0,178.38,TQ-700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0147,5.0,178.38,TQC700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0159,5.0,148.07,NQ-900E900B064A,9X9,QFN,Cu,120.0,40.0
FR0159,5.0,148.07,NQ-900S900B064A,9X9,QFN,Cu,120.0,40.0
FR0159,5.0,148.07,NQC900E900B064A,9X9,QFN,Cu,120.0,40.0
FR0159,5.0,148.07,TQ-900E900B064A,9X9,QFN,Cu,120.0,40.0
FR0194,5.0,232.95,NQ-400E400B020A,4X4,QFN,Cu,700.0,40.0
FR0194,5.0,232.95,NQC400E400B020A,4X4,QFN,Cu,700.0,40.0
FR0194,5.0,232.95,TQ-400E400B020A,4X4,QFN,Cu,700.0,40.0
FR0250,5.0,160.38,NQ-700E7001056A,7X7,SLP,Cu,240.0,40.0
FR0250,5.0,160.38,NQ-700E700A056A,7X7,QFN,Cu,240.0,40.0
FR0250,5.0,160.38,NQC700E7001056A,7X7,SLP,Cu,240.0,40.0
FR0250,5.0,160.38,NQC700E700A056A,7X7,QFN,Cu,240.0,40.0
FR0250,5.0,160.38,NQC700E700A056K,7X7,QFN,Cu,240.0,40.0
FR0250,5.0,160.38,TQ-700E700A056A,7X7,QFN,Cu,240.0,40.0
FR0264,3.0,230.05,ND-700S500Z004D,5X7,QFN,PPF,320.0,40.0
FR0264,3.0,230.05,ND-700S500Z004P,5X7,QFN,PPF,320.0,40.0
FR0366,5.0,247.89,ND-200E200B008A,2X2,QFN,Cu,2470.0,20.0
FR0366,5.0,247.89,ND-200E200B008K,2X2,QFN,Cu,2470.0,20.0
FR0366,5.0,247.89,ND-200M200B008A,2X2,QFN,Cu,2470.0,24.0
FR0366,5.0,247.89,NDC200E200B008A,2X2,QFN,Cu,2470.0,20.0
FR0366,5.0,247.89,NDC200E200B008K,2X2,QFN,Cu,2470.0,20.0
FR0366,5.0,247.89,TDC200E200B008A,2X2,QFN,Cu,2470.0,20.0
FR0384,5.0,362.29,TD-250D250C006A,2.5X2.5,QFN,Cu,1650.0,24.0
FR0384,5.0,362.29,TD-250E250C006A,2.5X2.5,QFN,Cu,1650.0,30.0
FR0384,5.0,362.29,TD-250M250C006A,2.5X2.5,QFN,Cu,1650.0,24.0
FR0384,5.0,362.29,TD-250S250C006A,2.5X2.5,QFN,Cu,1650.0,24.0
FR0434,3.0,304.12,ND-300E300B010D,3X3,QFN,PPF,1170.0,30.0
FR0434,3.0,304.12,ND-300E300B010P,3X3,QFN,PPF,1170.0,30.0
FR0434,3.0,304.12,ND-300S300B010P,3X3,QFN,PPF,1170.0,30.0
FR0434,3.0,304.12,NDC300E300B010P,3X3,QFN,PPF,1170.0,30.0
FR0434,3.0,304.12,TD-300E300B010D,3X3,QFN,PPF,1170.0,30.0
FR0434,3.0,304.12,TD-300E300B010P,3X3,QFN,PPF,1170.0,30.0
FR0434,3.0,304.12,TDC300E300B010P,3X3,QFN,PPF,1170.0,30.0
FR0445,5.0,158.55,NQ-600E600A048A,6X6,QFN,Cu,315.0,40.0
FR0445,5.0,158.55,NQ-600M600A048A,6X6,QFN,Cu,315.0,40.0
FR0445,5.0,158.55,NQC600E600A048A,6X6,QFN,Cu,315.0,40.0
FR0445,5.0,158.55,NQC600S600A048A,6X6,QFN,Cu,315.0,40.0
FR0445,5.0,158.55,NQC600S600A048K,6X6,QFN,Cu,315.0,40.0
FR0445,5.0,158.55,TQ-600E600A048A,6X6,QFN,Cu,315.0,40.0
FR0445,5.0,158.55,TQ-600S600A048A,6X6,QFN,Cu,315.0,40.0
FR0453,3.0,303.06,TD-250S200Z004D,2.5X2.2,QFN,PPF,1995.0,20.0
FR0453,3.0,303.06,TD-250S200Z004P,2X2.5,QFN,PPF,1995.0,20.0
FR0507,5.0,155.5,NQ-500E5001040A,5X5,SLP,Cu,440.0,40.0
FR0507,5.0,155.5,NQ-500E500A040A,5X5,QFN,Cu,440.0,40.0
FR0507,5.0,155.5,NQ-500E500A040K,5X5,QFN,Cu,440.0,40.0
FR0507,5.0,155.5,NQC500E500A040A,5X5,QFN,Cu,440.0,40.0
FR0507,5.0,155.5,NQC500E500A040K,5X5,QFN,Cu,440.0,40.0
FR0507,5.0,155.5,NQC500S500A040K,5X5,QFN,Cu,440.0,40.0
FR0507,5.0,155.5,TQC500E500A040A,5X5,QFN,Cu,440.0,40.0
FR0507,5.0,155.5,UQC500E500A040A,5X5,QFN,Cu,440.0,30.0
FR0512,5.0,343.45,TD-200E300B006A,3X2,QFN,Cu,1690.0,20.0
FR0512,5.0,343.45,TD-200E300B006K,2X3,QFN,Cu,1690.0,20.0
FR0512,5.0,343.45,TDC200E300B006K,3X3,QFN,Cu,1690.0,20.0
FR0518,0.0,310.39,TD-200E200B008D,2X2,QFN,PPF,2470.0,20.0
FR0518,0.0,310.39,TD-200E200B008P,2X2,QFN,PPF,2470.0,20.0
FR0624,5.0,177.2,NQ-800E800B056D,8X8,QFN,PPF,175.0,40.0
FR0624,5.0,177.2,NQ-800E800B056P,8X8,QFN,PPF,175.0,40.0
FR0624,5.0,177.2,NQC800E800B056P,8X8,QFN,PPF,175.0,60.0
FR0624,5.0,177.2,TQ-800E800B056P,8X8,QFN,PPF,175.0,40.0
FR0643,5.0,175.25,NQ-500E5001032A,5X5,SLP,Cu,440.0,40.0
FR0643,5.0,175.25,NQ-500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,NQ-500E500B032K,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,NQ-500E500B032U,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,NQ-500S500B032A,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,NQ-500S500X032A,5X5,SFS,,440.0,40.0
FR0643,5.0,175.25,NQC500E5001032A,5X5,SLP,Cu,440.0,40.0
FR0643,5.0,175.25,NQC500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,NQC500E500B032K,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,NQC500E500B032U,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,TQ-500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,TQ-500E500X032A,5X5,SFS,,440.0,40.0
FR0643,5.0,175.25,TQ-500M500B032A,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,TQC500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0643,5.0,175.25,TQC500E500B032K,5X5,QFN,Cu,440.0,40.0
FR0695,5.0,268.65,ND-280E160D004A,1.6X2.8,QFN,Cu,2300.0,20.0
FR0695,5.0,268.65,ND-280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0
FR0695,5.0,268.65,ND-280Z160D004A,1.6X2.8,QFN,Cu,2300.0,20.0
FR0695,5.0,268.65,NDC280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0
FR0695,5.0,268.65,NDE280E160D004A,1.6X2.8,QFN,Cu,2300.0,12.0
FR0695,5.0,268.65,NDE280E160D004K,1.6X2.8,QFN,Cu,2300.0,12.0
FR0695,5.0,268.65,NDF280E160D004A,1.6X2.8,QFN,Cu,2300.0,16.0
FR0695,5.0,268.65,NDF280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0
FR0695,5.0,268.65,NDG280E160D004K,1.6X2.8,QFN,Cu,2300.0,20.0
FR0726,5.0,292.26,NQ-300E3001020A,3X3,SLP,Cu,1170.0,30.0
FR0726,5.0,292.26,NQ-300E300B020A,3X3,QFN,Cu,1170.0,30.0
FR0726,5.0,292.26,TQ-300E300B020A,3X3,QFN,Cu,1170.0,30.0
FR0726,5.0,292.26,TQ-300E300B020K,3X3,QFN,Cu,1170.0,30.0
FR0726,5.0,292.26,TQC300E300B020A,3X3,QFN,Cu,1170.0,30.0
FR0726,5.0,292.26,TQC300E300B020K,3X3,QFN,Cu,1170.0,30.0
FR0737,3.0,311.18,TD-200E200C006D,2X2,QFN,PPF,2470.0,20.0
FR0737,3.0,311.18,TD-200E200C006P,2X2,QFN,PPF,2470.0,20.0
FR0737,3.0,311.18,TDC200E200C006D,2X2,QFN,PPF,2470.0,20.0
FR0737,3.0,311.18,TDC200E200C006P,2X2,QFN,PPF,2470.0,20.0
FR0738,3.0,159.69,NQ-700E700B048D,7X7,QFN,PPF,240.0,40.0
FR0738,3.0,159.69,NQ-700E700B048P,7X7,QFN,PPF,240.0,40.0
FR0738,3.0,159.69,NQ-700M700B048D,7X7,QFN,PPF,240.0,40.0
FR0738,3.0,159.69,NQ-700M700B048P,7X7,QFN,PPF,240.0,40.0
FR0738,3.0,159.69,NQC700E700B048B,7X7,QFN,PPF,240.0,40.0
FR0738,3.0,159.69,NQC700E700B048D,7X7,QFN,PPF,240.0,40.0
FR0738,3.0,159.69,NQC700E700B048P,7X7,QFN,PPF,240.0,40.0
FR0738,3.0,159.69,TQC700E700B048P,7X7,QFN,PPF,240.0,40.0
FR0747,5.0,374.14,NQ-300E300B016A,3X3,QFN,Cu,1170.0,30.0
FR0747,5.0,374.14,NQC300E300B016A,3X3,QFN,Cu,1170.0,30.0
FR0773,5.0,291.18,ND-400E3001012A,3X4,SLP,Cu,910.0,40.0
FR0773,5.0,291.18,ND-400E300B012A,3X4,QFN,Cu,910.0,40.0
FR0773,5.0,291.18,NDC400E3001012A,3X4,SLP,Cu,910.0,40.0
FR0773,5.0,291.18,NDC400E3001012K,3X4,SLP,Cu,910.0,40.0
FR0773,5.0,291.18,NDC400E300B012A,3X4,QFN,Cu,910.0,40.0
FR0773,5.0,291.18,NDC400E300B012K,3X4,QFN,Cu,910.0,40.0
FR0784,3.0,256.75,MQ-300S300B016P,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,MQC300S300B016P,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,NQ-300E300B016D,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,NQ-300E300B016P,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,NQC300E300B016D,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,NQC300E300B016P,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,TQ-300E300B016D,3X3,QFN,PPF,1824.0,30.0
FR0784,3.0,256.75,TQ-300E300B016P,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,TQC300E300B016D,3X3,QFN,PPF,1170.0,30.0
FR0784,3.0,256.75,TQC300E300B016P,3X3,QFN,PPF,1170.0,30.0
FR0785,5.0,234.68,MQ-400E4001024A,4X4,SLP,Cu,700.0,40.0
FR0785,5.0,234.68,MQ-400E4001024K,4X4,SLP,Cu,700.0,40.0
FR0785,5.0,234.68,NQ-400E4001024A,4X4,SLP,Cu,700.0,40.0
FR0785,5.0,234.68,NQ-400E4001024K,4X4,SLP,Cu,700.0,40.0
FR0785,5.0,234.68,NQ-400E400B024A,4X4,QFN,Cu,700.0,40.0
FR0785,5.0,234.68,NQ-400E400X024A,4X4,SFS,,700.0,40.0
FR0785,5.0,234.68,NQ-400E400X024K,4X4,SFS,,700.0,40.0
FR0785,5.0,234.68,NQC400E4001024A,4X4,SLP,Cu,700.0,40.0
FR0800,3.0,320.69,TDC300M300C008P,3X3,QFN,PPF,1170.0,30.0
FR0800,3.0,320.69,TDW300E300C008P,3X3,QFN,PPF,1170.0,30.0
FR0800,3.0,320.69,TDW300M300C008P,3X3,QFN,PPF,1170.0,30.0
FR0888,3.0,192.9,NQ-500E500B032D,5X5,QFN,PPF,440.0,40.0
FR0888,3.0,192.9,NQ-500E500B032P,5X5,QFN,PPF,440.0,40.0
FR0888,3.0,192.9,NQC500E500B032D,5X5,QFN,PPF,440.0,40.0
FR0888,3.0,192.9,NQC500E500B032P,5X5,QFN,PPF,440.0,40.0
FR0898,3.0,223.22,NQ-500E500B028D,5X5,QFN,PPF,440.0,40.0
FR0898,3.0,223.22,NQ-500E500B028P,5X5,QFN,PPF,440.0,40.0
FR0898,3.0,223.22,NQC500E500B028P,5X5,QFN,PPF,440.0,40.0
FR0929,3.0,197.21,MQ-600M600B040B,6X6,QFN,PPF,315.0,40.0
FR0929,3.0,197.21,NQ-600E600B040D,6X6,QFN,PPF,315.0,40.0
FR0929,3.0,197.21,NQ-600E600B040P,6X6,QFN,PPF,315.0,40.0
FR0929,3.0,197.21,NQC600E600B040D,6X6,QFN,PPF,315.0,40.0
FR0929,3.0,197.21,NQC600E600B040P,6X6,QFN,PPF,315.0,40.0
FR0929,3.0,197.21,NQW600E600B040D,6X6,QFN,PPF,315.0,40.0
FR0929,3.0,197.21,NQW600E600B040P,6X6,QFN,PPF,315.0,40.0
FR0945,5.0,201.1,NQ-500E5001032A,5X5,SLP,Cu,440.0,40.0
FR0945,5.0,201.1,NQ-500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0945,5.0,201.1,NQC500E5001032A,5X5,SLP,Cu,440.0,40.0
FR0945,5.0,201.1,NQC500E500B032A,5X5,QFN,Cu,440.0,40.0
FR0958,3.0,225.7,NQ-400E400B020D,4X4,QFN,PPF,700.0,40.0
FR0958,3.0,225.7,NQ-400E400B020P,4X4,QFN,PPF,700.0,40.0
FR0958,3.0,225.7,NQC400E400B020D,4X4,QFN,PPF,700.0,30.0
FR0968,5.0,147.57,NQ-600E600B036A,6X6,QFN,Cu,315.0,40.0
FR0968,5.0,147.57,NQ-600E600B036K,6X6,QFN,Cu,315.0,40.0
FR0968,5.0,147.57,NQ-600S600B036A,6X6,QFN,Cu,315.0,40.0
FR0969,5.0,153.96,MQC700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0969,5.0,153.96,NQ-700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0969,5.0,153.96,NQ-700E700B048K,7X7,QFN,Cu,240.0,40.0
FR0969,5.0,153.96,NQC700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0969,5.0,153.96,NQC700E700B048K,7X7,QFN,Cu,240.0,40.0
FR0969,5.0,153.96,TQ-700E7001048A,7X7,SLP,Cu,240.0,40.0
FR0969,5.0,153.96,TQ-700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0969,5.0,153.96,TQ-700E700B048K,7X7,QFN,Cu,240.0,40.0
FR0969,5.0,153.96,TQC700E700B048K,7X7,QFN,Cu,240.0,40.0
FR0986,3.0,190.77,MQD415E600Z015C,6X4.15,QFN,Cu,405.0,40.0
FR0986,3.0,190.77,MQD415E600Z015N,6X4.15,QFN,Cu,405.0,40.0
FR0989,5.0,147.34,NQ-700E7001048A,7X7,SLP,Cu,240.0,30.0
FR0989,5.0,147.34,NQ-700E7001048K,7X7,SLP,Cu,240.0,40.0
FR0989,5.0,147.34,NQ-700E700B048A,7X7,QFN,Cu,240.0,40.0
FR0989,5.0,147.34,NQC700E7001048A,7X7,SLP,Cu,240.0,40.0
FR0989,5.0,147.34,NQC700E7001048K,7X7,SLP,Cu,240.0,40.0
FR0989,5.0,147.34,TQ-700E700B048A,7X7,QFN,Cu,240.0,40.0
FR1009,3.0,446.06,ND-300E300B010A,3X3,QFN,Cu,1170.0,30.0
FR1009,3.0,446.06,TD-300E3001010A,3X3,SLP,Cu,1170.0,30.0
FR1009,3.0,446.06,TD-300E3001010K,3X3,SLP,Cu,1170.0,30.0
FR1009,3.0,446.06,TQ-300E3001016A,3X3,SLP,Cu,1170.0,30.0
FR1027,3.0,441.42,TD-150E150B006P,1.5X1.5,QFN,PPF,4080.0,12.0
FR1027,3.0,441.42,TDC150E150B006D,1.5X1.5,QFN,PPF,4080.0,18.0
FR1027,3.0,441.42,TDC150E150B006P,1.5X1.5,QFN,PPF,4080.0,18.0
FR1033,3.0,293.33,NQ-500E500B032P,5X5,QFN,PPF,440.0,40.0
FR1033,3.0,293.33,NQC500E500B032P,5X5,QFN,PPF,440.0,40.0
FR1033,3.0,293.33,TQC500E500B032P,5X5,QFN,PPF,440.0,40.0
FR1086,5.0,291.27,NQ-700Z700A056T,7X7,QFN,,0.0,0.0
FR1086,5.0,291.27,NQ-700Z700Z056T,7X7,QFN,,0.0,0.0
FR1086,5.0,291.27,NQ-700Z700Z088T,7X7,QFN,,0.0,0.0
FR1086,5.0,291.27,NQ-800Z800Z100T,8X8,QFN,,0.0,0.0
FR1086,5.0,291.27,TD-200E2001008A,2X2,SLP,Cu,2470.0,20.0
FR1086,5.0,291.27,TD-200E2001008K,2X2,SLP,Cu,2470.0,20.0
FR1086,5.0,291.27,TD-200E200B008A,2X2,QFN,Cu,2470.0,16.0
FR1086,5.0,291.27,TD-200E200B008K,2X2,QFN,Cu,2470.0,20.0
FR1086,5.0,291.27,TDC200E2001008A,2X2,SLP,Cu,2470.0,20.0
FR1086,5.0,291.27,TDC200E2001008K,2X2,SLP,Cu,2470.0,30.0
FR1086,5.0,291.27,ZB-G0-1G0361BFT,16X16,BGA,,1.0,1.0
FR1091,5.0,180.89,NQ-500E500D016A,5X5,QFN,Cu,440.0,40.0
FR1091,5.0,180.89,NQ-500E500D016K,5X5,QFN,Cu,440.0,40.0
FR1091,5.0,180.89,NQC500E500D016A,5X5,QFN,Cu,440.0,40.0
FR1091,5.0,180.89,NQC500E500D016K,5X5,QFN,Cu,440.0,40.0
FR1093,5.0,250.26,NQ-300E3001016A,3X3,SLP,Cu,1170.0,30.0
FR1093,5.0,250.26,NQ-300E300B016A,3X3,QFN,Cu,1170.0,30.0
FR1093,5.0,250.26,NQ-300E300X016A,3X3,SFS,,1170.0,30.0
FR1114,5.0,222.59,ND-400E300B014A,3X4,QFN,Cu,910.0,40.0
FR1114,5.0,222.59,NDC400E300B014A,3X4,QFN,Cu,910.0,40.0
FR1138,3.0,251.18,TQ-300E3001012C,3X3,SLP,Cu,1170.0,40.0
FR1138,3.0,251.18,TQ-300E3001012N,3X3,SLP,Cu,1170.0,40.0
FR1144,5.0,128.33,NQC700E7001048A,7X7,SLP,Cu,240.0,40.0
FR1144,5.0,128.33,NQC700E7001048K,7X7,SLP,Cu,240.0,40.0
FR1144,5.0,128.33,TQ-700E700B048A,7X7,QFN,Cu,240.0,40.0
FR1144,5.0,128.33,TQC700E700B048A,7X7,QFN,Cu,240.0,40.0
FR1152,5.0,214.93,NQ-500E5001032A,5X5,SLP,Cu,440.0,40.0
FR1152,5.0,214.93,NQ-500E5001032K,5X5,SLP,Cu,440.0,40.0
FR1152,5.0,214.93,NQC500E5001032A,5X5,SLP,Cu,440.0,40.0
FR1152,5.0,214.93,NQC500E5001032K,5X5,SLP,Cu,440.0,40.0
FR1162,5.0,195.67,NQ-400E4001024A,4X4,SLP,Cu,700.0,40.0
FR1162,5.0,195.67,NQO400E4001024A,4X4,SLP,Cu,700.0,40.0
FR1162,5.0,195.67,TQ-400E4001024A,4X4,SLP,Cu,700.0,40.0
FR1162,5.0,195.67,TQ-400E4001024K,4X4,SLP,Cu,700.0,40.0
FR1162,5.0,195.67,TQ-400E400B024A,4X4,QFN,Cu,700.0,40.0
FR1162,5.0,195.67,TQC400E4001024A,4X4,SLP,Cu,700.0,40.0
FR1162,5.0,195.67,TQC400E4001024K,4X4,SLP,Cu,700.0,30.0
FR1168,5.0,174.31,NQ-700E7001048A,7X7,SLP,Cu,240.0,30.0
FR1168,5.0,174.31,NQC700M7001048A,7X7,SLP,Cu,240.0,40.0
FR1168,5.0,174.31,NQC700M7001048K,7X7,SLP,Cu,240.0,40.0
FR1178,3.0,210.44,NQC600M800B040D,8X6,QFN,PPF,245.0,60.0
FR1178,3.0,210.44,NQC600M800B040P,8X6,QFN,PPF,245.0,60.0
FR1182,5.0,305.69,TD-200E2001006A,2X2,SLP,Cu,2470.0,20.0
FR1182,5.0,305.69,TD-200E200C006A,2X2,QFN,Cu,2470.0,20.0
FR1182,5.0,305.69,TD-200E200C006K,2X2,QFN,Cu,2470.0,20.0
FR1182,5.0,305.69,TD-200E200X006A,2X2,SFS,,2470.0,20.0
FR1182,5.0,305.69,TD-200E200X006K,2X2,SFS,,2470.0,20.0
FR1182,5.0,305.69,TDC200E200C006K,2X2,QFN,Cu,2470.0,20.0
FR1192,5.0,234.75,NQ-500E5001024A,5X5,SLP,Cu,440.0,40.0
FR1192,5.0,234.75,NQ-500E5001024K,5X5,SLP,Cu,440.0,40.0
FR1192,5.0,234.75,NQ-500E500C024A,5X5,QFN,Cu,440.0,40.0
FR1192,5.0,234.75,NQ-500E500C024K,5X5,QFN,Cu,440.0,40.0
FR1192,5.0,234.75,NQC500E5001024K,5X5,SLP,Cu,440.0,40.0
FR1192,5.0,234.75,NQC500E5001024U,5X5,SLP,Cu,440.0,40.0
FR1212,5.0,223.93,NQ-350E4501020A,4.5X3.5,SLP,Cu,720.0,40.0
FR1212,5.0,223.93,NQ-350M4501020A,4.5X3.5,SLP,Cu,720.0,40.0
FR1212,5.0,223.93,NQC350E4501020A,4.5X3.5,SLP,Cu,720.0,40.0
FR1212,5.0,223.93,NQC350E4501020K,4.5X3.5,SLP,Cu,720.0,40.0
FR1219,5.0,195.8,ND-330E330C006A,3.3X3.3,QFN,Cu,1020.0,40.0
FR1219,5.0,195.8,ND-330E330X006A,3.3X3.3,SFS,,1020.0,40.0
FR1230,3.0,267.36,TD-300M200B010P,2X3,QFN,PPF,1170.0,30.0
FR1230,3.0,267.36,TDC300M200B010D,2X3,QFN,PPF,1710.0,20.0
FR1230,3.0,267.36,TDC300M200B010P,2X3,QFN,PPF,1710.0,20.0
FR1234,3.0,214.48,NQ-400E450B026F,4.5X4,QFN,PPF,600.0,30.0
FR1234,3.0,214.48,NQ-400E450B026M,4.5X4,QFN,PPF,600.0,30.0
FR1239,5.0,257.69,TQ-300E4001018C,4X3,SLP,Cu,910.0,40.0
FR1239,5.0,257.69,TQ-300E4001018N,3X4,SLP,Cu,910.0,40.0
FR1239,5.0,257.69,TQ-300E400B018C,4X3,QFN,Cu,910.0,20.0
FR1252,5.0,365.67,TD-200E2001008A,2X2,SLP,Cu,2470.0,20.0
FR1252,5.0,365.67,TD-200E2001008K,2X2,SLP,Cu,2470.0,20.0
FR1252,5.0,365.67,TD-200E200B008A,2X2,QFN,Cu,2470.0,16.0
